Year,Компоненти індексу,Область,Вік,Стать,Value
2020,Відносини між групами,Луганська,36 – 60 років,,
2021,Відносини між групами,Луганська,36 - 59 років,,
2022,Відносини між групами,Луганська,36 - 59 років,,
2023,Відносини між групами,Луганська,36 - 59 років,,
2017,Відносини між групами,Луганська,61 рік і старші,,
2018,Відносини між групами,Луганська,61 рік і старші,,2.1
2019,Відносини між групами,Луганська,61 рік і старші,,5.1
2020,Відносини між групами,Луганська,61 рік і старші,,
2021,Відносини між групами,Луганська,60 років і старші,,
2022,Відносини між групами,Луганська,60 років і старші,,
2023,Відносини між групами,Луганська,60 років і старші,,
2017,Відносини між групами,Луганська,,чоловіки,
2018,Відносини між групами,Луганська,,чоловіки,2.8
2019,Відносини між групами,Луганська,,чоловіки,5.9
2020,Відносини між групами,Луганська,,чоловіки,
2021,Відносини між групами,Луганська,,чоловіки,
2022,Відносини між групами,Луганська,,чоловіки,
2023,Відносини між групами,Луганська,,чоловіки,
2017,Відносини між групами,Луганська,,жінки,
2018,Відносини між групами,Луганська,,жінки,2.4
2019,Відносини між групами,Луганська,,жінки,5.6
2020,Відносини між групами,Луганська,,жінки,
2021,Відносини між групами,Луганська,,жінки,
2022,Відносини між групами,Луганська,,жінки,
2023,Відносини між групами,Луганська,,жінки,
2017,Відносини між групами,Дніпропетровська,,,
2018,Відносини між групами,Дніпропетровська,,,
2019,Відносини між групами,Дніпропетровська,,,
2020,Відносини між групами,Дніпропетровська,,,
2021,Відносини між групами,Дніпропетровська,,,
2022,Відносини між групами,Дніпропетровська,,,
2023,Відносини між групами,Дніпропетровська,,,
2017,Відносини між групами,Дніпропетровська,18 – 35 років,,
2018,Відносини між групами,Дніпропетровська,18 – 35 років,,2.7
2019,Відносини між групами,Дніпропетровська,18 – 35 років,,
2020,Відносини між групами,Дніпропетровська,18 – 35 років,,
2021,Відносини між групами,Дніпропетровська,18 – 35 років,,
2022,Відносини між групами,Дніпропетровська,18 – 35 років,,
2023,Відносини між групами,Дніпропетровська,18 – 35 років,,
2017,Відносини між групами,Дніпропетровська,36 – 60 років,,
2018,Відносини між групами,Дніпропетровська,36 – 60 років,,2.2
2019,Відносини між групами,Дніпропетровська,36 – 60 років,,
2020,Відносини між групами,Дніпропетровська,36 – 60 років,,
2021,Відносини між групами,Дніпропетровська,36 - 59 років,,
2022,Відносини між групами,Дніпропетровська,36 - 59 років,,
2023,Відносини між групами,Дніпропетровська,36 - 59 років,,
2017,Відносини між групами,Дніпропетровська,61 рік і старші,,
2018,Відносини між групами,Дніпропетровська,61 рік і старші,,1.7
2019,Відносини між групами,Дніпропетровська,61 рік і старші,,
2020,Відносини між групами,Дніпропетровська,61 рік і старші,,
2021,Відносини між групами,Дніпропетровська,60 років і старші,,
2022,Відносини між групами,Дніпропетровська,60 років і старші,,
2023,Відносини між групами,Дніпропетровська,60 років і старші,,
2017,Відносини між групами,Дніпропетровська,,чоловіки,
2018,Відносини між групами,Дніпропетровська,,чоловіки,2.5
2019,Відносини між групами,Дніпропетровська,,чоловіки,
2020,Відносини між групами,Дніпропетровська,,чоловіки,
2021,Відносини між групами,Дніпропетровська,,чоловіки,
2022,Відносини між групами,Дніпропетровська,,чоловіки,
2023,Відносини між групами,Дніпропетровська,,чоловіки,
2017,Відносини між групами,Дніпропетровська,,жінки,
2018,Відносини між групами,Дніпропетровська,,жінки,2.0
2019,Відносини між групами,Дніпропетровська,,жінки,
2020,Відносини між групами,Дніпропетровська,,жінки,
2021,Відносини між групами,Дніпропетровська,,жінки,
2022,Відносини між групами,Дніпропетровська,,жінки,
2023,Відносини між групами,Дніпропетровська,,жінки,
2017,Відносини між групами,Запорізька,,,
2018,Відносини між групами,Запорізька,,,
2019,Відносини між групами,Запорізька,,,
2020,Відносини між групами,Запорізька,,,
2021,Відносини між групами,Запорізька,,,
2022,Відносини між групами,Запорізька,,,
2023,Відносини між групами,Запорізька,,,
2017,Відносини між групами,Запорізька,18 – 35 років,,
2018,Відносини між групами,Запорізька,18 – 35 років,,2.9
2019,Відносини між групами,Запорізька,18 – 35 років,,
2020,Відносини між групами,Запорізька,18 – 35 років,,
2021,Відносини між групами,Запорізька,18 – 35 років,,
2022,Відносини між групами,Запорізька,18 – 35 років,,
2023,Відносини між групами,Запорізька,18 – 35 років,,
2017,Відносини між групами,Запорізька,36 – 60 років,,
2018,Відносини між групами,Запорізька,36 – 60 років,,2.9
2019,Відносини між групами,Запорізька,36 – 60 років,,
2020,Відносини між групами,Запорізька,36 – 60 років,,
2021,Відносини між групами,Запорізька,36 - 59 років,,
2022,Відносини між групами,Запорізька,36 - 59 років,,
2023,Відносини між групами,Запорізька,36 - 59 років,,
2017,Відносини між групами,Запорізька,61 рік і старші,,
2018,Відносини між групами,Запорізька,61 рік і старші,,2.3
2019,Відносини між групами,Запорізька,61 рік і старші,,
2020,Відносини між групами,Запорізька,61 рік і старші,,
2021,Відносини між групами,Запорізька,60 років і старші,,
2022,Відносини між групами,Запорізька,60 років і старші,,
2023,Відносини між групами,Запорізька,60 років і старші,,
2017,Відносини між групами,Запорізька,,чоловіки,
2018,Відносини між групами,Запорізька,,чоловіки,3.0
2019,Відносини між групами,Запорізька,,чоловіки,
2020,Відносини між групами,Запорізька,,чоловіки,
2021,Відносини між групами,Запорізька,,чоловіки,
2022,Відносини між групами,Запорізька,,чоловіки,
2023,Відносини між групами,Запорізька,,чоловіки,
2017,Відносини між групами,Запорізька,,жінки,
2018,Відносини між групами,Запорізька,,жінки,2.5
2019,Відносини між групами,Запорізька,,жінки,
2020,Відносини між групами,Запорізька,,жінки,
2021,Відносини між групами,Запорізька,,жінки,
2022,Відносини між групами,Запорізька,,жінки,
2023,Відносини між групами,Запорізька,,жінки,
2017,Відносини між групами,Харківська,,,
2018,Відносини між групами,Харківська,,,
2019,Відносини між групами,Харківська,,,
2020,Відносини між групами,Харківська,,,
2021,Відносини між групами,Харківська,,,
2022,Відносини між групами,Харківська,,,
2023,Відносини між групами,Харківська,,,
2017,Відносини між групами,Харківська,18 – 35 років,,
2018,Відносини між групами,Харківська,18 – 35 років,,2.9
2019,Відносини між групами,Харківська,18 – 35 років,,
2020,Відносини між групами,Харківська,18 – 35 років,,
2021,Відносини між групами,Харківська,18 – 35 років,,
2022,Відносини між групами,Харківська,18 – 35 років,,
2023,Відносини між групами,Харківська,18 – 35 років,,
2017,Відносини між групами,Харківська,36 – 60 років,,
2018,Відносини між групами,Харківська,36 – 60 років,,2.7
2019,Відносини між групами,Харківська,36 – 60 років,,
2020,Відносини між групами,Харківська,36 – 60 років,,
2021,Відносини між групами,Харківська,36 - 59 років,,
2022,Відносини між групами,Харківська,36 - 59 років,,
2023,Відносини між групами,Харківська,36 - 59 років,,
2017,Відносини між групами,Харківська,61 рік і старші,,
2018,Відносини між групами,Харківська,61 рік і старші,,2.0
2019,Відносини між групами,Харківська,61 рік і старші,,
2020,Відносини між групами,Харківська,61 рік і старші,,
2021,Відносини між групами,Харківська,60 років і старші,,
2022,Відносини між групами,Харківська,60 років і старші,,
2023,Відносини між групами,Харківська,60 років і старші,,
2017,Відносини між групами,Харківська,,чоловіки,
2018,Відносини між групами,Харківська,,чоловіки,2.8
2019,Відносини між групами,Харківська,,чоловіки,
2020,Відносини між групами,Харківська,,чоловіки,
2021,Відносини між групами,Харківська,,чоловіки,
2022,Відносини між групами,Харківська,,чоловіки,
2023,Відносини між групами,Харківська,,чоловіки,
2017,Відносини між групами,Харківська,,жінки,
2018,Відносини між групами,Харківська,,жінки,2.5
2019,Відносини між групами,Харківська,,жінки,
2020,Відносини між групами,Харківська,,жінки,
2021,Відносини між групами,Харківська,,жінки,
2022,Відносини між групами,Харківська,,жінки,
2023,Відносини між групами,Харківська,,жінки,
2017,Психо-соціальна активність,Донецька,,,
2018,Психо-соціальна активність,Донецька,,,
2019,Психо-соціальна активність,Донецька,,,
2020,Психо-соціальна активність,Донецька,,,
2021,Психо-соціальна активність,Донецька,,,
2022,Психо-соціальна активність,Донецька,,,
2023,Психо-соціальна активність,Донецька,,,
2017,Психо-соціальна активність,Донецька,18 – 35 років,,
2018,Психо-соціальна активність,Донецька,18 – 35 років,,1.9
2019,Психо-соціальна активність,Донецька,18 – 35 років,,5.1
2020,Психо-соціальна активність,Донецька,18 – 35 років,,
2021,Психо-соціальна активність,Донецька,18 – 35 років,,
2022,Психо-соціальна активність,Донецька,18 – 35 років,,
2023,Психо-соціальна активність,Донецька,18 – 35 років,,
2017,Психо-соціальна активність,Донецька,36 – 60 років,,
2018,Психо-соціальна активність,Донецька,36 – 60 років,,1.9
2019,Психо-соціальна активність,Донецька,36 – 60 років,,4.8
2020,Психо-соціальна активність,Донецька,36 – 60 років,,
2021,Психо-соціальна активність,Донецька,36 - 59 років,,
2022,Психо-соціальна активність,Донецька,36 - 59 років,,
2023,Психо-соціальна активність,Донецька,36 - 59 років,,
2017,Психо-соціальна активність,Донецька,61 рік і старші,,
2018,Психо-соціальна активність,Донецька,61 рік і старші,,1.0
2019,Психо-соціальна активність,Донецька,61 рік і старші,,4.8
2020,Психо-соціальна активність,Донецька,61 рік і старші,,
2021,Психо-соціальна активність,Донецька,60 років і старші,,
2022,Психо-соціальна активність,Донецька,60 років і старші,,
2023,Психо-соціальна активність,Донецька,60 років і старші,,
2017,Психо-соціальна активність,Донецька,,чоловіки,
2018,Психо-соціальна активність,Донецька,,чоловіки,2.5
2019,Психо-соціальна активність,Донецька,,чоловіки,5.2
2020,Психо-соціальна активність,Донецька,,чоловіки,
2021,Психо-соціальна активність,Донецька,,чоловіки,
2022,Психо-соціальна активність,Донецька,,чоловіки,
2023,Психо-соціальна активність,Донецька,,чоловіки,
2017,Психо-соціальна активність,Донецька,,жінки,
2018,Психо-соціальна активність,Донецька,,жінки,0.9
2019,Психо-соціальна активність,Донецька,,жінки,4.6
2020,Психо-соціальна активність,Донецька,,жінки,
2021,Психо-соціальна активність,Донецька,,жінки,
2022,Психо-соціальна активність,Донецька,,жінки,
2023,Психо-соціальна активність,Донецька,,жінки,
2017,Психо-соціальна активність,Луганська,,,
2018,Психо-соціальна активність,Луганська,,,
2019,Психо-соціальна активність,Луганська,,,
2020,Психо-соціальна активність,Луганська,,,
2021,Психо-соціальна активність,Луганська,,,
2022,Психо-соціальна активність,Луганська,,,
2023,Психо-соціальна активність,Луганська,,,
2017,Психо-соціальна активність,Луганська,18 – 35 років,,
2018,Психо-соціальна активність,Луганська,18 – 35 років,,2.2
2019,Психо-соціальна активність,Луганська,18 – 35 років,,4.7
2020,Психо-соціальна активність,Луганська,18 – 35 років,,
2021,Психо-соціальна активність,Луганська,18 – 35 років,,
2022,Психо-соціальна активність,Луганська,18 – 35 років,,
2023,Психо-соціальна активність,Луганська,18 – 35 років,,
2017,Психо-соціальна активність,Луганська,36 – 60 років,,
2018,Психо-соціальна активність,Луганська,36 – 60 років,,1.7
2019,Психо-соціальна активність,Луганська,36 – 60 років,,4.6
2020,Психо-соціальна активність,Луганська,36 – 60 років,,
2021,Психо-соціальна активність,Луганська,36 - 59 років,,
2022,Психо-соціальна активність,Луганська,36 - 59 років,,
2023,Психо-соціальна активність,Луганська,36 - 59 років,,
2017,Психо-соціальна активність,Луганська,61 рік і старші,,
2018,Психо-соціальна активність,Луганська,61 рік і старші,,1.0
2019,Психо-соціальна активність,Луганська,61 рік і старші,,4.4
2020,Психо-соціальна активність,Луганська,61 рік і старші,,
2021,Психо-соціальна активність,Луганська,60 років і старші,,
2022,Психо-соціальна активність,Луганська,60 років і старші,,
2023,Психо-соціальна активність,Луганська,60 років і старші,,
2017,Психо-соціальна активність,Луганська,,чоловіки,
2018,Психо-соціальна активність,Луганська,,чоловіки,2.4
2019,Психо-соціальна активність,Луганська,,чоловіки,5.0
2020,Психо-соціальна активність,Луганська,,чоловіки,
2021,Психо-соціальна активність,Луганська,,чоловіки,
2022,Психо-соціальна активність,Луганська,,чоловіки,
2023,Психо-соціальна активність,Луганська,,чоловіки,
2017,Психо-соціальна активність,Луганська,,жінки,
2018,Психо-соціальна активність,Луганська,,жінки,1.0
2019,Психо-соціальна активність,Луганська,,жінки,4.3
2020,Психо-соціальна активність,Луганська,,жінки,
2021,Психо-соціальна активність,Луганська,,жінки,
2022,Психо-соціальна активність,Луганська,,жінки,
2023,Психо-соціальна активність,Луганська,,жінки,
2017,Психо-соціальна активність,Дніпропетровська,,,
2018,Психо-соціальна активність,Дніпропетровська,,,
2019,Психо-соціальна активність,Дніпропетровська,,,
2020,Психо-соціальна активність,Дніпропетровська,,,
2021,Психо-соціальна активність,Дніпропетровська,,,
2022,Психо-соціальна активність,Дніпропетровська,,,
2023,Психо-соціальна активність,Дніпропетровська,,,
2017,Психо-соціальна активність,Дніпропетровська,18 – 35 років,,
2018,Психо-соціальна активність,Дніпропетровська,18 – 35 років,,2.1
2019,Психо-соціальна активність,Дніпропетровська,18 – 35 років,,
2020,Психо-соціальна активність,Дніпропетровська,18 – 35 років,,
2021,Психо-соціальна активність,Дніпропетровська,18 – 35 років,,
2022,Психо-соціальна активність,Дніпропетровська,18 – 35 років,,
2023,Психо-соціальна активність,Дніпропетровська,18 – 35 років,,
2017,Психо-соціальна активність,Дніпропетровська,36 – 60 років,,
2018,Психо-соціальна активність,Дніпропетровська,36 – 60 років,,2.0
2019,Психо-соціальна активність,Дніпропетровська,36 – 60 років,,
2020,Психо-соціальна активність,Дніпропетровська,36 – 60 років,,
2021,Психо-соціальна активність,Дніпропетровська,36 - 59 років,,
2022,Психо-соціальна активність,Дніпропетровська,36 - 59 років,,
2023,Психо-соціальна активність,Дніпропетровська,36 - 59 років,,
2017,Психо-соціальна активність,Дніпропетровська,61 рік і старші,,
2018,Психо-соціальна активність,Дніпропетровська,61 рік і старші,,1.4
2019,Психо-соціальна активність,Дніпропетровська,61 рік і старші,,
2020,Психо-соціальна активність,Дніпропетровська,61 рік і старші,,
2021,Психо-соціальна активність,Дніпропетровська,60 років і старші,,
2022,Психо-соціальна активність,Дніпропетровська,60 років і старші,,
2023,Психо-соціальна активність,Дніпропетровська,60 років і старші,,
2017,Психо-соціальна активність,Дніпропетровська,,чоловіки,
2018,Психо-соціальна активність,Дніпропетровська,,чоловіки,2.5
2019,Психо-соціальна активність,Дніпропетровська,,чоловіки,
2020,Психо-соціальна активність,Дніпропетровська,,чоловіки,
2021,Психо-соціальна активність,Дніпропетровська,,чоловіки,
2022,Психо-соціальна активність,Дніпропетровська,,чоловіки,
2023,Психо-соціальна активність,Дніпропетровська,,чоловіки,
2017,Психо-соціальна активність,Дніпропетровська,,жінки,
2018,Психо-соціальна активність,Дніпропетровська,,жінки,1.4
2019,Психо-соціальна активність,Дніпропетровська,,жінки,
2020,Психо-соціальна активність,Дніпропетровська,,жінки,
2021,Психо-соціальна активність,Дніпропетровська,,жінки,
2022,Психо-соціальна активність,Дніпропетровська,,жінки,
2023,Психо-соціальна активність,Дніпропетровська,,жінки,
2017,Психо-соціальна активність,Запорізька,,,
2018,Психо-соціальна активність,Запорізька,,,
2019,Психо-соціальна активність,Запорізька,,,
2020,Психо-соціальна активність,Запорізька,,,
2021,Психо-соціальна активність,Запорізька,,,
2022,Психо-соціальна активність,Запорізька,,,
2023,Психо-соціальна активність,Запорізька,,,
2017,Психо-соціальна активність,Запорізька,18 – 35 років,,
2018,Психо-соціальна активність,Запорізька,18 – 35 років,,2.5
2019,Психо-соціальна активність,Запорізька,18 – 35 років,,
2020,Психо-соціальна активність,Запорізька,18 – 35 років,,
2021,Психо-соціальна активність,Запорізька,18 – 35 років,,
2022,Психо-соціальна активність,Запорізька,18 – 35 років,,
2023,Психо-соціальна активність,Запорізька,18 – 35 років,,
2017,Психо-соціальна активність,Запорізька,36 – 60 років,,
2018,Психо-соціальна активність,Запорізька,36 – 60 років,,2.2
2019,Психо-соціальна активність,Запорізька,36 – 60 років,,
2020,Психо-соціальна активність,Запорізька,36 – 60 років,,
2021,Психо-соціальна активність,Запорізька,36 - 59 років,,
2022,Психо-соціальна активність,Запорізька,36 - 59 років,,
2023,Психо-соціальна активність,Запорізька,36 - 59 років,,
2017,Психо-соціальна активність,Запорізька,61 рік і старші,,
2018,Психо-соціальна активність,Запорізька,61 рік і старші,,1.1
2019,Психо-соціальна активність,Запорізька,61 рік і старші,,
2020,Психо-соціальна активність,Запорізька,61 рік і старші,,
2021,Психо-соціальна активність,Запорізька,60 років і старші,,
2022,Психо-соціальна активність,Запорізька,60 років і старші,,
2023,Психо-соціальна активність,Запорізька,60 років і старші,,
2017,Психо-соціальна активність,Запорізька,,чоловіки,
2018,Психо-соціальна активність,Запорізька,,чоловіки,2.9
2019,Психо-соціальна активність,Запорізька,,чоловіки,
2020,Психо-соціальна активність,Запорізька,,чоловіки,
2021,Психо-соціальна активність,Запорізька,,чоловіки,
2022,Психо-соціальна активність,Запорізька,,чоловіки,
2023,Психо-соціальна активність,Запорізька,,чоловіки,
2017,Психо-соціальна активність,Запорізька,,жінки,
2018,Психо-соціальна активність,Запорізька,,жінки,1.2
2019,Психо-соціальна активність,Запорізька,,жінки,
2020,Психо-соціальна активність,Запорізька,,жінки,
2021,Психо-соціальна активність,Запорізька,,жінки,
2022,Психо-соціальна активність,Запорізька,,жінки,
2023,Психо-соціальна активність,Запорізька,,жінки,
2017,Психо-соціальна активність,Харківська,,,
2018,Психо-соціальна активність,Харківська,,,
2019,Психо-соціальна активність,Харківська,,,
2020,Психо-соціальна активність,Харківська,,,
2021,Психо-соціальна активність,Харківська,,,
2022,Психо-соціальна активність,Харківська,,,
2023,Психо-соціальна активність,Харківська,,,
2017,Психо-соціальна активність,Харківська,18 – 35 років,,
2018,Психо-соціальна активність,Харківська,18 – 35 років,,2.3
2019,Психо-соціальна активність,Харківська,18 – 35 років,,
2020,Психо-соціальна активність,Харківська,18 – 35 років,,
2021,Психо-соціальна активність,Харківська,18 – 35 років,,
2022,Психо-соціальна активність,Харківська,18 – 35 років,,
2023,Психо-соціальна активність,Харківська,18 – 35 років,,
2017,Психо-соціальна активність,Харківська,36 – 60 років,,
2018,Психо-соціальна активність,Харківська,36 – 60 років,,1.9
2019,Психо-соціальна активність,Харківська,36 – 60 років,,
2020,Психо-соціальна активність,Харківська,36 – 60 років,,
2021,Психо-соціальна активність,Харківська,36 - 59 років,,
2022,Психо-соціальна активність,Харківська,36 - 59 років,,
2023,Психо-соціальна активність,Харківська,36 - 59 років,,
2017,Психо-соціальна активність,Харківська,61 рік і старші,,
2018,Психо-соціальна активність,Харківська,61 рік і старші,,1.0
2019,Психо-соціальна активність,Харківська,61 рік і старші,,
2020,Психо-соціальна активність,Харківська,61 рік і старші,,
2021,Психо-соціальна активність,Харківська,60 років і старші,,
2022,Психо-соціальна активність,Харківська,60 років і старші,,
2023,Психо-соціальна активність,Харківська,60 років і старші,,
2017,Психо-соціальна активність,Харківська,,чоловіки,
2018,Психо-соціальна активність,Харківська,,чоловіки,2.5
2019,Психо-соціальна активність,Харківська,,чоловіки,
2020,Психо-соціальна активність,Харківська,,чоловіки,
2021,Психо-соціальна активність,Харківська,,чоловіки,
2022,Психо-соціальна активність,Харківська,,чоловіки,
2023,Психо-соціальна активність,Харківська,,чоловіки,
2017,Психо-соціальна активність,Харківська,,жінки,
2018,Психо-соціальна активність,Харківська,,жінки,1.2
2019,Психо-соціальна активність,Харківська,,жінки,
2020,Психо-соціальна активність,Харківська,,жінки,
2021,Психо-соціальна активність,Харківська,,жінки,
2022,Психо-соціальна активність,Харківська,,жінки,
2023,Психо-соціальна активність,Харківська,,жінки,
2017,Толерантна та активна громадянська позиція,Донецька,,,
2018,Толерантна та активна громадянська позиція,Донецька,,,
2019,Толерантна та активна громадянська позиція,Донецька,,,
2020,Толерантна та активна громадянська позиція,Донецька,,,
2021,Толерантна та активна громадянська позиція,Донецька,,,
2022,Толерантна та активна громадянська позиція,Донецька,,,
2023,Толерантна та активна громадянська позиція,Донецька,,,
2017,Толерантна та активна громадянська позиція,Донецька,18 – 35 років,,
2018,Толерантна та активна громадянська позиція,Донецька,18 – 35 років,,2.0
2019,Толерантна та активна громадянська позиція,Донецька,18 – 35 років,,4.9
2020,Толерантна та активна громадянська позиція,Донецька,18 – 35 років,,
2021,Толерантна та активна громадянська позиція,Донецька,18 – 35 років,,
2022,Толерантна та активна громадянська позиція,Донецька,18 – 35 років,,
2023,Толерантна та активна громадянська позиція,Донецька,18 – 35 років,,
2017,Толерантна та активна громадянська позиція,Донецька,36 – 60 років,,
2018,Толерантна та активна громадянська позиція,Донецька,36 – 60 років,,2.3
2019,Толерантна та активна громадянська позиція,Донецька,36 – 60 років,,4.0
2020,Толерантна та активна громадянська позиція,Донецька,36 – 60 років,,
2021,Толерантна та активна громадянська позиція,Донецька,36 - 59 років,,
2022,Толерантна та активна громадянська позиція,Донецька,36 - 59 років,,
2023,Толерантна та активна громадянська позиція,Донецька,36 - 59 років,,
2017,Толерантна та активна громадянська позиція,Донецька,61 рік і старші,,
2018,Толерантна та активна громадянська позиція,Донецька,61 рік і старші,,2.3
2019,Толерантна та активна громадянська позиція,Донецька,61 рік і старші,,2.3
2020,Толерантна та активна громадянська позиція,Донецька,61 рік і старші,,
2021,Толерантна та активна громадянська позиція,Донецька,61 рік і старші,,
2022,Толерантна та активна громадянська позиція,Донецька,61 рік і старші,,
2023,Толерантна та активна громадянська позиція,Донецька,61 рік і старші,,
2017,Толерантна та активна громадянська позиція,Донецька,,чоловіки,
2018,Толерантна та активна громадянська позиція,Донецька,,чоловіки,2.0
2019,Толерантна та активна громадянська позиція,Донецька,,чоловіки,4.3
2020,Толерантна та активна громадянська позиція,Донецька,,чоловіки,
2021,Толерантна та активна громадянська позиція,Донецька,,чоловіки,
2022,Толерантна та активна громадянська позиція,Донецька,,чоловіки,
2023,Толерантна та активна громадянська позиція,Донецька,,чоловіки,
2017,Толерантна та активна громадянська позиція,Донецька,,жінки,
2018,Толерантна та активна громадянська позиція,Донецька,,жінки,2.4
2019,Толерантна та активна громадянська позиція,Донецька,,жінки,3.2
2020,Толерантна та активна громадянська позиція,Донецька,,жінки,
2021,Толерантна та активна громадянська позиція,Донецька,,жінки,
2022,Толерантна та активна громадянська позиція,Донецька,,жінки,
2023,Толерантна та активна громадянська позиція,Донецька,,жінки,
2017,Толерантна та активна громадянська позиція,Луганська,,,
2018,Толерантна та активна громадянська позиція,Луганська,,,
2019,Толерантна та активна громадянська позиція,Луганська,,,
2020,Толерантна та активна громадянська позиція,Луганська,,,
2021,Толерантна та активна громадянська позиція,Луганська,,,
2022,Толерантна та активна громадянська позиція,Луганська,,,
2023,Толерантна та активна громадянська позиція,Луганська,,,
2017,Толерантна та активна громадянська позиція,Луганська,18 – 35 років,,
2018,Толерантна та активна громадянська позиція,Луганська,18 – 35 років,,1.9
2019,Толерантна та активна громадянська позиція,Луганська,18 – 35 років,,5.8
2020,Толерантна та активна громадянська позиція,Луганська,18 – 35 років,,
2021,Толерантна та активна громадянська позиція,Луганська,18 – 35 років,,
2022,Толерантна та активна громадянська позиція,Луганська,18 – 35 років,,
2023,Толерантна та активна громадянська позиція,Луганська,18 – 35 років,,
2017,Толерантна та активна громадянська позиція,Луганська,36 – 60 років,,
2018,Толерантна та активна громадянська позиція,Луганська,36 – 60 років,,2.5
2019,Толерантна та активна громадянська позиція,Луганська,36 – 60 років,,5.0
2020,Толерантна та активна громадянська позиція,Луганська,36 – 60 років,,
2021,Толерантна та активна громадянська позиція,Луганська,36 - 59 років,,
2022,Толерантна та активна громадянська позиція,Луганська,36 - 59 років,,
2023,Толерантна та активна громадянська позиція,Луганська,36 - 59 років,,
2017,Толерантна та активна громадянська позиція,Луганська,61 рік і старші,,
2018,Толерантна та активна громадянська позиція,Луганська,61 рік і старші,,2.2
2019,Толерантна та активна громадянська позиція,Луганська,61 рік і старші,,3.0
2020,Толерантна та активна громадянська позиція,Луганська,61 рік і старші,,
2021,Толерантна та активна громадянська позиція,Луганська,60 років і старші,,
2022,Толерантна та активна громадянська позиція,Луганська,60 років і старші,,
2023,Толерантна та активна громадянська позиція,Луганська,60 років і старші,,
2017,Толерантна та активна громадянська позиція,Луганська,,чоловіки,
2018,Толерантна та активна громадянська позиція,Луганська,,чоловіки,2.1
2019,Толерантна та активна громадянська позиція,Луганська,,чоловіки,5.4
2020,Толерантна та активна громадянська позиція,Луганська,,чоловіки,
2021,Толерантна та активна громадянська позиція,Луганська,,чоловіки,
2022,Толерантна та активна громадянська позиція,Луганська,,чоловіки,
2023,Толерантна та активна громадянська позиція,Луганська,,чоловіки,
2017,Толерантна та активна громадянська позиція,Луганська,,жінки,
2018,Толерантна та активна громадянська позиція,Луганська,,жінки,2.4
2019,Толерантна та активна громадянська позиція,Луганська,,жінки,3.9
2020,Толерантна та активна громадянська позиція,Луганська,,жінки,
2021,Толерантна та активна громадянська позиція,Луганська,,жінки,
2022,Толерантна та активна громадянська позиція,Луганська,,жінки,
2023,Толерантна та активна громадянська позиція,Луганська,,жінки,
2017,Толерантна та активна громадянська позиція,Дніпропетровська,,,
2018,Толерантна та активна громадянська позиція,Дніпропетровська,,,
2019,Толерантна та активна громадянська позиція,Дніпропетровська,,,
2020,Толерантна та активна громадянська позиція,Дніпропетровська,,,
2021,Толерантна та активна громадянська позиція,Дніпропетровська,,,
2022,Толерантна та активна громадянська позиція,Дніпропетровська,,,
2023,Толерантна та активна громадянська позиція,Дніпропетровська,,,
