Year,Сomponent of the index,Region,Age,Gender,Value
2019,psycho-social activity,Zaporizhzhya,,women,
2020,psycho-social activity,Zaporizhzhya,,women,
2021,psycho-social activity,Zaporizhzhya,,women,
2022,psycho-social activity,Zaporizhzhya,,women,
2023,psycho-social activity,Zaporizhzhya,,women,
2017,psycho-social activity,Kharkiv,,,
2018,psycho-social activity,Kharkiv,,,
2019,psycho-social activity,Kharkiv,,,
2020,psycho-social activity,Kharkiv,,,
2021,psycho-social activity,Kharkiv,,,
2022,psycho-social activity,Kharkiv,,,
2023,psycho-social activity,Kharkiv,,,
2017,psycho-social activity,Kharkiv,18-35 years,,
2018,psycho-social activity,Kharkiv,18-35 years,,2.3
2019,psycho-social activity,Kharkiv,18-35 years,,
2020,psycho-social activity,Kharkiv,18-35 years,,
2021,psycho-social activity,Kharkiv,18-35 years,,
2022,psycho-social activity,Kharkiv,18-35 years,,
2023,psycho-social activity,Kharkiv,18-35 years,,
2017,psycho-social activity,Kharkiv,36-60 years,,
2018,psycho-social activity,Kharkiv,36-60 years,,1.9
2019,psycho-social activity,Kharkiv,36-60 years,,
2020,psycho-social activity,Kharkiv,36-60 years,,
2021,psycho-social activity,Kharkiv,36-59 years,,
2022,psycho-social activity,Kharkiv,36-59 years,,
2023,psycho-social activity,Kharkiv,36-59 years,,
2017,psycho-social activity,Kharkiv,61 years and older,,
2018,psycho-social activity,Kharkiv,61 years and older,,1.0
2019,psycho-social activity,Kharkiv,61 years and older,,
2020,psycho-social activity,Kharkiv,61 years and older,,
2021,psycho-social activity,Kharkiv,60 years and older,,
2022,psycho-social activity,Kharkiv,60 years and older,,
2023,psycho-social activity,Kharkiv,60 years and older,,
2017,psycho-social activity,Kharkiv,,men,
2018,psycho-social activity,Kharkiv,,men,2.5
2019,psycho-social activity,Kharkiv,,men,
2020,psycho-social activity,Kharkiv,,men,
2021,psycho-social activity,Kharkiv,,men,
2022,psycho-social activity,Kharkiv,,men,
2023,psycho-social activity,Kharkiv,,men,
2017,psycho-social activity,Kharkiv,,women,
2018,psycho-social activity,Kharkiv,,women,1.2
2019,psycho-social activity,Kharkiv,,women,
2020,psycho-social activity,Kharkiv,,women,
2021,psycho-social activity,Kharkiv,,women,
2022,psycho-social activity,Kharkiv,,women,
2023,psycho-social activity,Kharkiv,,women,
2017,tolerant and active citizenship,Donetsk,,,
2018,tolerant and active citizenship,Donetsk,,,
2019,tolerant and active citizenship,Donetsk,,,
2020,tolerant and active citizenship,Donetsk,,,
2021,tolerant and active citizenship,Donetsk,,,
2022,tolerant and active citizenship,Donetsk,,,
2023,tolerant and active citizenship,Donetsk,,,
2017,tolerant and active citizenship,Donetsk,18-35 years,,
2018,tolerant and active citizenship,Donetsk,18-35 years,,2.0
2019,tolerant and active citizenship,Donetsk,18-35 years,,4.9
2020,tolerant and active citizenship,Donetsk,18-35 years,,
2021,tolerant and active citizenship,Donetsk,18-35 years,,
2022,tolerant and active citizenship,Donetsk,18-35 years,,
2023,tolerant and active citizenship,Donetsk,18-35 years,,
2017,tolerant and active citizenship,Donetsk,36-60 years,,
2018,tolerant and active citizenship,Donetsk,36-60 years,,2.3
2019,tolerant and active citizenship,Donetsk,36-60 years,,4.0
2020,tolerant and active citizenship,Donetsk,36-60 years,,
2021,tolerant and active citizenship,Donetsk,36-59 years,,
2022,tolerant and active citizenship,Donetsk,36-59 years,,
2023,tolerant and active citizenship,Donetsk,36-59 years,,
2017,tolerant and active citizenship,Donetsk,61 years and older,,
2018,tolerant and active citizenship,Donetsk,61 years and older,,2.3
2019,tolerant and active citizenship,Donetsk,61 years and older,,2.3
2020,tolerant and active citizenship,Donetsk,61 years and older,,
2021,tolerant and active citizenship,Donetsk,61 years and older,,
2022,tolerant and active citizenship,Donetsk,61 years and older,,
2023,tolerant and active citizenship,Donetsk,61 years and older,,
2017,tolerant and active citizenship,Donetsk,,men,
2018,tolerant and active citizenship,Donetsk,,men,2.0
2019,tolerant and active citizenship,Donetsk,,men,4.3
2020,tolerant and active citizenship,Donetsk,,men,
2021,tolerant and active citizenship,Donetsk,,men,
2022,tolerant and active citizenship,Donetsk,,men,
2023,tolerant and active citizenship,Donetsk,,men,
2017,tolerant and active citizenship,Donetsk,,women,
2018,tolerant and active citizenship,Donetsk,,women,2.4
2019,tolerant and active citizenship,Donetsk,,women,3.2
2020,tolerant and active citizenship,Donetsk,,women,
2021,tolerant and active citizenship,Donetsk,,women,
2022,tolerant and active citizenship,Donetsk,,women,
2023,tolerant and active citizenship,Donetsk,,women,
2017,tolerant and active citizenship,Luhansk,,,
2018,tolerant and active citizenship,Luhansk,,,
2019,tolerant and active citizenship,Luhansk,,,
2020,tolerant and active citizenship,Luhansk,,,
2021,tolerant and active citizenship,Luhansk,,,
2022,tolerant and active citizenship,Luhansk,,,
2023,tolerant and active citizenship,Luhansk,,,
2017,tolerant and active citizenship,Luhansk,18-35 years,,
2018,tolerant and active citizenship,Luhansk,18-35 years,,1.9
2019,tolerant and active citizenship,Luhansk,18-35 years,,5.8
2020,tolerant and active citizenship,Luhansk,18-35 years,,
2021,tolerant and active citizenship,Luhansk,18-35 years,,
2022,tolerant and active citizenship,Luhansk,18-35 years,,
2023,tolerant and active citizenship,Luhansk,18-35 years,,
2017,tolerant and active citizenship,Luhansk,36-60 years,,
2018,tolerant and active citizenship,Luhansk,36-60 years,,2.5
2019,tolerant and active citizenship,Luhansk,36-60 years,,5.0
2020,tolerant and active citizenship,Luhansk,36-60 years,,
2021,tolerant and active citizenship,Luhansk,36-59 years,,
2022,tolerant and active citizenship,Luhansk,36-59 years,,
2023,tolerant and active citizenship,Luhansk,36-59 years,,
2017,tolerant and active citizenship,Luhansk,61 years and older,,
2018,tolerant and active citizenship,Luhansk,61 years and older,,2.2
2019,tolerant and active citizenship,Luhansk,61 years and older,,3.0
2020,tolerant and active citizenship,Luhansk,61 years and older,,
2021,tolerant and active citizenship,Luhansk,60 years and older,,
2022,tolerant and active citizenship,Luhansk,60 years and older,,
2023,tolerant and active citizenship,Luhansk,60 years and older,,
2017,tolerant and active citizenship,Luhansk,,men,
2018,tolerant and active citizenship,Luhansk,,men,2.1
2019,tolerant and active citizenship,Luhansk,,men,5.4
2020,tolerant and active citizenship,Luhansk,,men,
2021,tolerant and active citizenship,Luhansk,,men,
2022,tolerant and active citizenship,Luhansk,,men,
2023,tolerant and active citizenship,Luhansk,,men,
2017,tolerant and active citizenship,Luhansk,,women,
2018,tolerant and active citizenship,Luhansk,,women,2.4
2019,tolerant and active citizenship,Luhansk,,women,3.9
2020,tolerant and active citizenship,Luhansk,,women,
2021,tolerant and active citizenship,Luhansk,,women,
2022,tolerant and active citizenship,Luhansk,,women,
2023,tolerant and active citizenship,Luhansk,,women,
2017,tolerant and active citizenship,Dnipropetrovsk,,,
2018,tolerant and active citizenship,Dnipropetrovsk,,,
2019,tolerant and active citizenship,Dnipropetrovsk,,,
2020,tolerant and active citizenship,Dnipropetrovsk,,,
2021,tolerant and active citizenship,Dnipropetrovsk,,,
2022,tolerant and active citizenship,Dnipropetrovsk,,,
2023,tolerant and active citizenship,Dnipropetrovsk,,,
2017,tolerant and active citizenship,Dnipropetrovsk,18-35 years,,
2018,tolerant and active citizenship,Dnipropetrovsk,18-35 years,,2.2
2019,tolerant and active citizenship,Dnipropetrovsk,18-35 years,,
2020,tolerant and active citizenship,Dnipropetrovsk,18-35 years,,
2021,tolerant and active citizenship,Dnipropetrovsk,18-35 years,,
2022,tolerant and active citizenship,Dnipropetrovsk,18-35 years,,
2023,tolerant and active citizenship,Dnipropetrovsk,18-35 years,,
2017,tolerant and active citizenship,Dnipropetrovsk,36-60 years,,
2018,tolerant and active citizenship,Dnipropetrovsk,36-60 years,,2.8
2019,tolerant and active citizenship,Dnipropetrovsk,36-60 years,,
2020,tolerant and active citizenship,Dnipropetrovsk,36-60 years,,
2021,tolerant and active citizenship,Dnipropetrovsk,36-59 years,,
2022,tolerant and active citizenship,Dnipropetrovsk,36-59 years,,
2023,tolerant and active citizenship,Dnipropetrovsk,36-59 years,,
2017,tolerant and active citizenship,Dnipropetrovsk,61 years and older,,
2018,tolerant and active citizenship,Dnipropetrovsk,61 years and older,,3.1
2019,tolerant and active citizenship,Dnipropetrovsk,61 years and older,,
2020,tolerant and active citizenship,Dnipropetrovsk,61 years and older,,
2021,tolerant and active citizenship,Dnipropetrovsk,60 years and older,,
2022,tolerant and active citizenship,Dnipropetrovsk,60 years and older,,
2023,tolerant and active citizenship,Dnipropetrovsk,60 years and older,,
2017,tolerant and active citizenship,Dnipropetrovsk,,men,
2018,tolerant and active citizenship,Dnipropetrovsk,,men,2.5
2019,tolerant and active citizenship,Dnipropetrovsk,,men,
2020,tolerant and active citizenship,Dnipropetrovsk,,men,
2021,tolerant and active citizenship,Dnipropetrovsk,,men,
2022,tolerant and active citizenship,Dnipropetrovsk,,men,
2023,tolerant and active citizenship,Dnipropetrovsk,,men,
2017,tolerant and active citizenship,Dnipropetrovsk,,women,
2018,tolerant and active citizenship,Dnipropetrovsk,,women,2.8
2019,tolerant and active citizenship,Dnipropetrovsk,,women,
2020,tolerant and active citizenship,Dnipropetrovsk,,women,
2021,tolerant and active citizenship,Dnipropetrovsk,,women,
2022,tolerant and active citizenship,Dnipropetrovsk,,women,
2023,tolerant and active citizenship,Dnipropetrovsk,,women,
2017,tolerant and active citizenship,Zaporizhzhya,,,
2018,tolerant and active citizenship,Zaporizhzhya,,,
2019,tolerant and active citizenship,Zaporizhzhya,,,
2020,tolerant and active citizenship,Zaporizhzhya,,,
2021,tolerant and active citizenship,Zaporizhzhya,,,
2022,tolerant and active citizenship,Zaporizhzhya,,,
2023,tolerant and active citizenship,Zaporizhzhya,,,
2017,tolerant and active citizenship,Zaporizhzhya,18-35 years,,
2018,tolerant and active citizenship,Zaporizhzhya,18-35 years,,2.2
2019,tolerant and active citizenship,Zaporizhzhya,18-35 years,,
2020,tolerant and active citizenship,Zaporizhzhya,18-35 years,,
2021,tolerant and active citizenship,Zaporizhzhya,18-35 years,,
2022,tolerant and active citizenship,Zaporizhzhya,18-35 years,,
2023,tolerant and active citizenship,Zaporizhzhya,18-35 years,,
2017,tolerant and active citizenship,Zaporizhzhya,36-60 years,,
2018,tolerant and active citizenship,Zaporizhzhya,36-60 years,,2.8
2019,tolerant and active citizenship,Zaporizhzhya,36-60 years,,
2020,tolerant and active citizenship,Zaporizhzhya,36-60 years,,
2021,tolerant and active citizenship,Zaporizhzhya,36-59 years,,
2022,tolerant and active citizenship,Zaporizhzhya,36-59 years,,
2023,tolerant and active citizenship,Zaporizhzhya,36-59 years,,
2017,tolerant and active citizenship,Zaporizhzhya,61 years and older,,
2018,tolerant and active citizenship,Zaporizhzhya,61 years and older,,2.6
2019,tolerant and active citizenship,Zaporizhzhya,61 years and older,,
2020,tolerant and active citizenship,Zaporizhzhya,61 years and older,,
2021,tolerant and active citizenship,Zaporizhzhya,60 years and older,,
2022,tolerant and active citizenship,Zaporizhzhya,60 years and older,,
2023,tolerant and active citizenship,Zaporizhzhya,60 years and older,,
2017,tolerant and active citizenship,Zaporizhzhya,,men,
2018,tolerant and active citizenship,Zaporizhzhya,,men,2.3
2019,tolerant and active citizenship,Zaporizhzhya,,men,
2020,tolerant and active citizenship,Zaporizhzhya,,men,
2021,tolerant and active citizenship,Zaporizhzhya,,men,
2022,tolerant and active citizenship,Zaporizhzhya,,men,
2023,tolerant and active citizenship,Zaporizhzhya,,men,
2017,tolerant and active citizenship,Zaporizhzhya,,women,
2018,tolerant and active citizenship,Zaporizhzhya,,women,2.7
2019,tolerant and active citizenship,Zaporizhzhya,,women,
2020,tolerant and active citizenship,Zaporizhzhya,,women,
2021,tolerant and active citizenship,Zaporizhzhya,,women,
2022,tolerant and active citizenship,Zaporizhzhya,,women,
2023,tolerant and active citizenship,Zaporizhzhya,,women,
2017,tolerant and active citizenship,Kharkiv,,,
2018,tolerant and active citizenship,Kharkiv,,,
2019,tolerant and active citizenship,Kharkiv,,,
2020,tolerant and active citizenship,Kharkiv,,,
2021,tolerant and active citizenship,Kharkiv,,,
2022,tolerant and active citizenship,Kharkiv,,,
2023,tolerant and active citizenship,Kharkiv,,,
2017,tolerant and active citizenship,Kharkiv,18-35 years,,
2018,tolerant and active citizenship,Kharkiv,18-35 years,,1.9
2019,tolerant and active citizenship,Kharkiv,18-35 years,,
2020,tolerant and active citizenship,Kharkiv,18-35 years,,
2021,tolerant and active citizenship,Kharkiv,18-35 years,,
2022,tolerant and active citizenship,Kharkiv,18-35 years,,
2023,tolerant and active citizenship,Kharkiv,18-35 years,,
2017,tolerant and active citizenship,Kharkiv,36-60 years,,
2018,tolerant and active citizenship,Kharkiv,36-60 years,,2.3
2019,tolerant and active citizenship,Kharkiv,36-60 years,,
2020,tolerant and active citizenship,Kharkiv,36-60 years,,
2021,tolerant and active citizenship,Kharkiv,36-59 years,,
2022,tolerant and active citizenship,Kharkiv,36-59 years,,
2023,tolerant and active citizenship,Kharkiv,36-59 years,,
2017,tolerant and active citizenship,Kharkiv,61 years and older,,
2018,tolerant and active citizenship,Kharkiv,61 years and older,,2.6
2019,tolerant and active citizenship,Kharkiv,61 years and older,,
2020,tolerant and active citizenship,Kharkiv,61 years and older,,
2021,tolerant and active citizenship,Kharkiv,60 years and older,,
2022,tolerant and active citizenship,Kharkiv,60 years and older,,
2023,tolerant and active citizenship,Kharkiv,60 years and older,,
2017,tolerant and active citizenship,Kharkiv,,men,
2018,tolerant and active citizenship,Kharkiv,,men,2.1
2019,tolerant and active citizenship,Kharkiv,,men,
2020,tolerant and active citizenship,Kharkiv,,men,
2021,tolerant and active citizenship,Kharkiv,,men,
2022,tolerant and active citizenship,Kharkiv,,men,
2023,tolerant and active citizenship,Kharkiv,,men,
2017,tolerant and active citizenship,Kharkiv,,women,
2018,tolerant and active citizenship,Kharkiv,,women,2.4
2019,tolerant and active citizenship,Kharkiv,,women,
2020,tolerant and active citizenship,Kharkiv,,women,
2021,tolerant and active citizenship,Kharkiv,,women,
2022,tolerant and active citizenship,Kharkiv,,women,
2023,tolerant and active citizenship,Kharkiv,,women,
2017,propensity to migrate,Donetsk,,,
2018,propensity to migrate,Donetsk,,,
2019,propensity to migrate,Donetsk,,,
2020,propensity to migrate,Donetsk,,,
2021,propensity to migrate,Donetsk,,,4.1
2022,propensity to migrate,Donetsk,,,
2023,propensity to migrate,Donetsk,,,
2017,propensity to migrate,Donetsk,18-35 years,,
2018,propensity to migrate,Donetsk,18-35 years,,
2019,propensity to migrate,Donetsk,18-35 years,,5.2
2020,propensity to migrate,Donetsk,18-35 years,,
2021,propensity to migrate,Donetsk,18-35 years,,5.4
2022,propensity to migrate,Donetsk,18-35 years,,
2023,propensity to migrate,Donetsk,18-35 years,,
2017,propensity to migrate,Donetsk,36-60 years,,
2018,propensity to migrate,Donetsk,36-60 years,,
2019,propensity to migrate,Donetsk,36-60 years,,3.9
2020,propensity to migrate,Donetsk,36-60 years,,
2021,propensity to migrate,Donetsk,36-59 years,,4.4
2022,propensity to migrate,Donetsk,36-59 years,,
2023,propensity to migrate,Donetsk,36-59 years,,
2017,propensity to migrate,Donetsk,61 years and older,,
2018,propensity to migrate,Donetsk,61 years and older,,
2019,propensity to migrate,Donetsk,61 years and older,,2.3
2020,propensity to migrate,Donetsk,61 years and older,,
2021,propensity to migrate,Donetsk,60 years and older,,2.9
2022,propensity to migrate,Donetsk,60 years and older,,
2023,propensity to migrate,Donetsk,60 years and older,,
2017,propensity to migrate,Donetsk,,men,
2018,propensity to migrate,Donetsk,,men,
2019,propensity to migrate,Donetsk,,men,3.9
2020,propensity to migrate,Donetsk,,men,
2021,propensity to migrate,Donetsk,,men,4.2
2022,propensity to migrate,Donetsk,,men,
2023,propensity to migrate,Donetsk,,men,
2017,propensity to migrate,Donetsk,,women,
2018,propensity to migrate,Donetsk,,women,
2019,propensity to migrate,Donetsk,,women,3.6
2020,propensity to migrate,Donetsk,,women,
2021,propensity to migrate,Donetsk,,women,4.0
2022,propensity to migrate,Donetsk,,women,
2023,propensity to migrate,Donetsk,,women,
2017,propensity to migrate,Luhansk,,,
2018,propensity to migrate,Luhansk,,,
2019,propensity to migrate,Luhansk,,,
2020,propensity to migrate,Luhansk,,,
2021,propensity to migrate,Luhansk,,,3.7
2022,propensity to migrate,Luhansk,,,
2023,propensity to migrate,Luhansk,,,
2017,propensity to migrate,Luhansk,18-35 years,,
2018,propensity to migrate,Luhansk,18-35 years,,
2019,propensity to migrate,Luhansk,18-35 years,,6.2
2020,propensity to migrate,Luhansk,18-35 years,,
2021,propensity to migrate,Luhansk,18-35 years,,5.7
2022,propensity to migrate,Luhansk,18-35 years,,
2023,propensity to migrate,Luhansk,18-35 years,,
2017,propensity to migrate,Luhansk,36-60 years,,
2018,propensity to migrate,Luhansk,36-60 years,,
2019,propensity to migrate,Luhansk,36-60 years,,4.4
2020,propensity to migrate,Luhansk,36-60 years,,
2021,propensity to migrate,Luhansk,36-59 years,,3.9
2022,propensity to migrate,Luhansk,36-59 years,,
2023,propensity to migrate,Luhansk,36-59 years,,
2017,propensity to migrate,Luhansk,61 years and older,,
2018,propensity to migrate,Luhansk,61 years and older,,
2019,propensity to migrate,Luhansk,61 years and older,,1.7
2020,propensity to migrate,Luhansk,61 years and older,,
2021,propensity to migrate,Luhansk,60 years and older,,2.1
2022,propensity to migrate,Luhansk,60 years and older,,
2023,propensity to migrate,Luhansk,60 years and older,,
2017,propensity to migrate,Luhansk,,men,
2018,propensity to migrate,Luhansk,,men,
2019,propensity to migrate,Luhansk,,men,4.4
2020,propensity to migrate,Luhansk,,men,
2021,propensity to migrate,Luhansk,,men,3.8
2022,propensity to migrate,Luhansk,,men,
2023,propensity to migrate,Luhansk,,men,
2017,propensity to migrate,Luhansk,,women,
2018,propensity to migrate,Luhansk,,women,
2019,propensity to migrate,Luhansk,,women,3.7
2020,propensity to migrate,Luhansk,,women,
2021,propensity to migrate,Luhansk,,women,3.6
2022,propensity to migrate,Luhansk,,women,
2023,propensity to migrate,Luhansk,,women,
2017,propensity to migrate,Dnipropetrovsk,,,
2018,propensity to migrate,Dnipropetrovsk,,,
2019,propensity to migrate,Dnipropetrovsk,,,
2020,propensity to migrate,Dnipropetrovsk,,,
2021,propensity to migrate,Dnipropetrovsk,,,
2022,propensity to migrate,Dnipropetrovsk,,,
2023,propensity to migrate,Dnipropetrovsk,,,
2017,propensity to migrate,Dnipropetrovsk,18-35 years,,
2018,propensity to migrate,Dnipropetrovsk,18-35 years,,
2019,propensity to migrate,Dnipropetrovsk,18-35 years,,
2020,propensity to migrate,Dnipropetrovsk,18-35 years,,
2021,propensity to migrate,Dnipropetrovsk,18-35 years,,
2022,propensity to migrate,Dnipropetrovsk,18-35 years,,
2023,propensity to migrate,Dnipropetrovsk,18-35 years,,
2017,propensity to migrate,Dnipropetrovsk,36-60 years,,
2018,propensity to migrate,Dnipropetrovsk,36-60 years,,
2019,propensity to migrate,Dnipropetrovsk,36-60 years,,
2020,propensity to migrate,Dnipropetrovsk,36-60 years,,
2021,propensity to migrate,Dnipropetrovsk,36-59 years,,
2022,propensity to migrate,Dnipropetrovsk,36-59 years,,
2023,propensity to migrate,Dnipropetrovsk,36-59 years,,
2017,propensity to migrate,Dnipropetrovsk,61 years and older,,
2018,propensity to migrate,Dnipropetrovsk,61 years and older,,
2019,propensity to migrate,Dnipropetrovsk,61 years and older,,
2020,propensity to migrate,Dnipropetrovsk,61 years and older,,
2021,propensity to migrate,Dnipropetrovsk,60 years and older,,
2022,propensity to migrate,Dnipropetrovsk,60 years and older,,
2023,propensity to migrate,Dnipropetrovsk,60 years and older,,
2017,propensity to migrate,Dnipropetrovsk,,men,
2018,propensity to migrate,Dnipropetrovsk,,men,
2019,propensity to migrate,Dnipropetrovsk,,men,
2020,propensity to migrate,Dnipropetrovsk,,men,
2021,propensity to migrate,Dnipropetrovsk,,men,
2022,propensity to migrate,Dnipropetrovsk,,men,
2023,propensity to migrate,Dnipropetrovsk,,men,
2017,propensity to migrate,Dnipropetrovsk,,women,
2018,propensity to migrate,Dnipropetrovsk,,women,
2019,propensity to migrate,Dnipropetrovsk,,women,
2020,propensity to migrate,Dnipropetrovsk,,women,
2021,propensity to migrate,Dnipropetrovsk,,women,
2022,propensity to migrate,Dnipropetrovsk,,women,
2023,propensity to migrate,Dnipropetrovsk,,women,
2017,propensity to migrate,Zaporizhzhya,,,
2018,propensity to migrate,Zaporizhzhya,,,
2019,propensity to migrate,Zaporizhzhya,,,
2020,propensity to migrate,Zaporizhzhya,,,
2021,propensity to migrate,Zaporizhzhya,,,
2022,propensity to migrate,Zaporizhzhya,,,
2023,propensity to migrate,Zaporizhzhya,,,
2017,propensity to migrate,Zaporizhzhya,18-35 years,,
2018,propensity to migrate,Zaporizhzhya,18-35 years,,
2019,propensity to migrate,Zaporizhzhya,18-35 years,,
2020,propensity to migrate,Zaporizhzhya,18-35 years,,
2021,propensity to migrate,Zaporizhzhya,18-35 years,,
2022,propensity to migrate,Zaporizhzhya,18-35 years,,
2023,propensity to migrate,Zaporizhzhya,18-35 years,,
2017,propensity to migrate,Zaporizhzhya,36-60 years,,
2018,propensity to migrate,Zaporizhzhya,36-60 years,,
2019,propensity to migrate,Zaporizhzhya,36-60 years,,
2020,propensity to migrate,Zaporizhzhya,36-60 years,,
2021,propensity to migrate,Zaporizhzhya,36-59 years,,
2022,propensity to migrate,Zaporizhzhya,36-59 years,,
2023,propensity to migrate,Zaporizhzhya,36-59 years,,
2017,propensity to migrate,Zaporizhzhya,61 years and older,,
2018,propensity to migrate,Zaporizhzhya,61 years and older,,
2019,propensity to migrate,Zaporizhzhya,61 years and older,,
2020,propensity to migrate,Zaporizhzhya,61 years and older,,
2021,propensity to migrate,Zaporizhzhya,60 years and older,,
2022,propensity to migrate,Zaporizhzhya,60 years and older,,
2023,propensity to migrate,Zaporizhzhya,60 years and older,,
2017,propensity to migrate,Zaporizhzhya,,men,
2018,propensity to migrate,Zaporizhzhya,,men,
2019,propensity to migrate,Zaporizhzhya,,men,
2020,propensity to migrate,Zaporizhzhya,,men,
2021,propensity to migrate,Zaporizhzhya,,men,
2022,propensity to migrate,Zaporizhzhya,,men,
2023,propensity to migrate,Zaporizhzhya,,men,
2017,propensity to migrate,Zaporizhzhya,,women,
2018,propensity to migrate,Zaporizhzhya,,women,
2019,propensity to migrate,Zaporizhzhya,,women,
2020,propensity to migrate,Zaporizhzhya,,women,
2021,propensity to migrate,Zaporizhzhya,,women,
2022,propensity to migrate,Zaporizhzhya,,women,
2023,propensity to migrate,Zaporizhzhya,,women,
2017,propensity to migrate,Kharkiv,,,
2018,propensity to migrate,Kharkiv,,,
2019,propensity to migrate,Kharkiv,,,
2020,propensity to migrate,Kharkiv,,,
2021,propensity to migrate,Kharkiv,,,
2022,propensity to migrate,Kharkiv,,,
2023,propensity to migrate,Kharkiv,,,
2017,propensity to migrate,Kharkiv,18-35 years,,
2018,propensity to migrate,Kharkiv,18-35 years,,
2019,propensity to migrate,Kharkiv,18-35 years,,
2020,propensity to migrate,Kharkiv,18-35 years,,
2021,propensity to migrate,Kharkiv,18-35 years,,
2022,propensity to migrate,Kharkiv,18-35 years,,
2023,propensity to migrate,Kharkiv,18-35 years,,
2017,propensity to migrate,Kharkiv,36-60 years,,
2018,propensity to migrate,Kharkiv,36-60 years,,
2019,propensity to migrate,Kharkiv,36-60 years,,
2020,propensity to migrate,Kharkiv,36-60 years,,
2021,propensity to migrate,Kharkiv,36-59 years,,
2022,propensity to migrate,Kharkiv,36-59 years,,
2023,propensity to migrate,Kharkiv,36-59 years,,
2017,propensity to migrate,Kharkiv,61 years and older,,
2018,propensity to migrate,Kharkiv,61 years and older,,
2019,propensity to migrate,Kharkiv,61 years and older,,
2020,propensity to migrate,Kharkiv,61 years and older,,
2021,propensity to migrate,Kharkiv,60 years and older,,
2022,propensity to migrate,Kharkiv,60 years and older,,
2023,propensity to migrate,Kharkiv,60 years and older,,
2017,propensity to migrate,Kharkiv,,men,
2018,propensity to migrate,Kharkiv,,men,
2019,propensity to migrate,Kharkiv,,men,
2020,propensity to migrate,Kharkiv,,men,
2021,propensity to migrate,Kharkiv,,men,
2022,propensity to migrate,Kharkiv,,men,
2023,propensity to migrate,Kharkiv,,men,
2017,propensity to migrate,Kharkiv,,women,
2018,propensity to migrate,Kharkiv,,women,
2019,propensity to migrate,Kharkiv,,women,
2020,propensity to migrate,Kharkiv,,women,
2021,propensity to migrate,Kharkiv,,women,
2022,propensity to migrate,Kharkiv,,women,
2023,propensity to migrate,Kharkiv,,women,
2017,cooperation in the community,Donetsk,,,
2018,cooperation in the community,Donetsk,,,
2019,cooperation in the community,Donetsk,,,
2020,cooperation in the community,Donetsk,,,
2021,cooperation in the community,Donetsk,,,4.8
2022,cooperation in the community,Donetsk,,,
2023,cooperation in the community,Donetsk,,,
2017,cooperation in the community,Donetsk,18-35 years,,
2018,cooperation in the community,Donetsk,18-35 years,,
2019,cooperation in the community,Donetsk,18-35 years,,4.7
2020,cooperation in the community,Donetsk,18-35 years,,
2021,cooperation in the community,Donetsk,18-35 years,,4.6
2022,cooperation in the community,Donetsk,18-35 years,,
2023,cooperation in the community,Donetsk,18-35 years,,
2017,cooperation in the community,Donetsk,36-60 years,,
2018,cooperation in the community,Donetsk,36-60 years,,
2019,cooperation in the community,Donetsk,36-60 years,,5.2
2020,cooperation in the community,Donetsk,36-60 years,,
2021,cooperation in the community,Donetsk,36-59 years,,4.8
2022,cooperation in the community,Donetsk,36-59 years,,
2023,cooperation in the community,Donetsk,36-59 years,,
2017,cooperation in the community,Donetsk,61 years and older,,
2018,cooperation in the community,Donetsk,61 years and older,,
2019,cooperation in the community,Donetsk,61 years and older,,5.9
2020,cooperation in the community,Donetsk,61 years and older,,
2021,cooperation in the community,Donetsk,60 years and older,,5.1
2022,cooperation in the community,Donetsk,60 years and older,,
2023,cooperation in the community,Donetsk,60 years and older,,
2017,cooperation in the community,Donetsk,,men,
2018,cooperation in the community,Donetsk,,men,
2019,cooperation in the community,Donetsk,,men,5.0
2020,cooperation in the community,Donetsk,,men,
2021,cooperation in the community,Donetsk,,men,4.6
2022,cooperation in the community,Donetsk,,men,
2023,cooperation in the community,Donetsk,,men,
2017,cooperation in the community,Donetsk,,women,
2018,cooperation in the community,Donetsk,,women,
2019,cooperation in the community,Donetsk,,women,5.5
2020,cooperation in the community,Donetsk,,women,
2021,cooperation in the community,Donetsk,,women,5.0
2022,cooperation in the community,Donetsk,,women,
2023,cooperation in the community,Donetsk,,women,
2017,cooperation in the community,Luhansk,,,
2018,cooperation in the community,Luhansk,,,
2019,cooperation in the community,Luhansk,,,
2020,cooperation in the community,Luhansk,,,
2021,cooperation in the community,Luhansk,,,5.5
2022,cooperation in the community,Luhansk,,,
2023,cooperation in the community,Luhansk,,,
2017,cooperation in the community,Luhansk,18-35 years,,
2018,cooperation in the community,Luhansk,18-35 years,,
2019,cooperation in the community,Luhansk,18-35 years,,4.9
2020,cooperation in the community,Luhansk,18-35 years,,
2021,cooperation in the community,Luhansk,18-35 years,,5.4
2022,cooperation in the community,Luhansk,18-35 years,,
2023,cooperation in the community,Luhansk,18-35 years,,
2017,cooperation in the community,Luhansk,36-60 years,,
2018,cooperation in the community,Luhansk,36-60 years,,
2019,cooperation in the community,Luhansk,36-60 years,,5.4
2020,cooperation in the community,Luhansk,36-60 years,,
2021,cooperation in the community,Luhansk,36-59 years,,5.4
2022,cooperation in the community,Luhansk,36-59 years,,
2023,cooperation in the community,Luhansk,36-59 years,,
2017,cooperation in the community,Luhansk,61 years and older,,
2018,cooperation in the community,Luhansk,61 years and older,,
2019,cooperation in the community,Luhansk,61 years and older,,5.9
2020,cooperation in the community,Luhansk,61 years and older,,
